aspect_a,aspect_b,support_a_negative,support_b_negative,support_ab_negative,p_b_negative_given_a_negative,base_b_negative_rate,lift
Food#Portion,Price#Level,1787,1873,675,0.37772803581421377,0.1895748987854251,1.9925002636649396
Price#Level,Food#Portion,1873,1787,675,0.3603844100373732,0.18087044534412955,1.9925002636649398
Service#Hospitality,Food#Portion,1284,1787,472,0.367601246105919,0.18087044534412955,2.0324008458458196
Food#Portion,Service#Hospitality,1787,1284,472,0.2641298265249021,0.12995951417004048,2.03240084584582
Price#Cost_effective,Price#Level,637,1873,447,0.7017268445839875,0.1895748987854251,3.7015810061344347
Price#Level,Price#Cost_effective,1873,637,447,0.2386545648691938,0.06447368421052632,3.7015810061344343
Food#Appearance,Food#Portion,922,1787,429,0.46529284164859,0.18087044534412955,2.5725200198590206
Food#Portion,Food#Appearance,1787,922,429,0.2400671516508114,0.09331983805668016,2.57252001985902
Service#Hospitality,Price#Level,1284,1873,413,0.32165109034267914,0.1895748987854251,1.6966966217755846
Price#Level,Service#Hospitality,1873,1284,413,0.2205018686599039,0.12995951417004048,1.6966966217755846
Service#Timely,Service#Hospitality,907,1284,401,0.4421168687982359,0.12995951417004048,3.401958460846239
Service#Hospitality,Service#Timely,1284,907,401,0.31230529595015577,0.09180161943319838,3.4019584608462394
Food#Appearance,Service#Hospitality,922,1284,368,0.39913232104121477,0.12995951417004048,3.0712050871395653
Service#Hospitality,Food#Appearance,1284,922,368,0.2866043613707165,0.09331983805668016,3.071205087139565
Price#Cost_effective,Food#Portion,637,1787,351,0.5510204081632653,0.18087044534412955,3.0464922398730057
Food#Portion,Price#Cost_effective,1787,637,351,0.19641857862339115,0.06447368421052632,3.046492239873005
Ambience#Sanitary,Service#Hospitality,848,1284,350,0.41273584905660377,0.12995951417004048,3.1758802092517486
Service#Hospitality,Ambience#Sanitary,1284,848,350,0.27258566978193144,0.08582995951417004,3.1758802092517486
Ambience#Sanitary,Food#Appearance,848,922,343,0.4044811320754717,0.09331983805668016,4.334353128964924
Food#Appearance,Ambience#Sanitary,922,848,343,0.3720173535791757,0.08582995951417004,4.334353128964924
Food#Taste,Service#Hospitality,503,1284,303,0.6023856858846919,0.12995951417004048,4.635179576745137
Service#Hospitality,Food#Taste,1284,503,303,0.23598130841121495,0.05091093117408907,4.635179576745137
Service#Timely,Food#Portion,907,1787,302,0.33296582138919517,0.18087044534412955,1.8409078429352257
Food#Portion,Service#Timely,1787,907,302,0.1689983212087297,0.09180161943319838,1.8409078429352255
Food#Appearance,Price#Level,922,1873,299,0.324295010845987,0.1895748987854251,1.7106431965607856
Price#Level,Food#Appearance,1873,922,299,0.1596369460758142,0.09331983805668016,1.7106431965607853
Food#Taste,Food#Appearance,503,922,294,0.584493041749503,0.09331983805668016,6.263331076448036
Ambience#Sanitary,Food#Portion,848,1787,294,0.3466981132075472,0.18087044534412955,1.916831202289069
Food#Appearance,Food#Taste,922,503,294,0.3188720173535792,0.05091093117408907,6.263331076448036
Food#Portion,Ambience#Sanitary,1787,848,294,0.16452154448796866,0.08582995951417004,1.9168312022890688
Price#Cost_effective,Service#Hospitality,637,1284,258,0.4050235478806907,0.12995951417004048,3.1165363341598322
Service#Hospitality,Price#Cost_effective,1284,637,258,0.20093457943925233,0.06447368421052632,3.116536334159832
Ambience#Decoration,Ambience#Sanitary,424,848,248,0.5849056603773585,0.08582995951417004,6.814702741189035
Ambience#Sanitary,Ambience#Decoration,848,424,248,0.29245283018867924,0.04291497975708502,6.814702741189035
Food#Taste,Food#Portion,503,1787,246,0.48906560636182905,0.18087044534412955,2.703955339034623
Food#Portion,Food#Taste,1787,503,246,0.13766088416340236,0.05091093117408907,2.7039553390346227
Service#Timely,Price#Level,907,1873,232,0.2557883131201764,0.1895748987854251,1.3492731092511174
Price#Level,Service#Timely,1873,907,232,0.12386545648691938,0.09180161943319838,1.3492731092511174
Price#Cost_effective,Food#Appearance,637,922,225,0.3532182103610675,0.09331983805668016,3.785028111027491
Ambience#Sanitary,Price#Level,848,1873,225,0.2653301886792453,0.1895748987854251,1.3996061207426287
Food#Appearance,Price#Cost_effective,922,637,225,0.2440347071583514,0.06447368421052632,3.785028111027491
Price#Level,Ambience#Sanitary,1873,848,225,0.1201281366791244,0.08582995951417004,1.3996061207426287
Food#Taste,Ambience#Sanitary,503,848,217,0.43141153081510936,0.08582995951417004,5.026351326006227
Ambience#Sanitary,Food#Taste,848,503,217,0.25589622641509435,0.05091093117408907,5.026351326006227
Ambience#Space,Food#Portion,774,1787,214,0.27648578811369506,0.18087044534412955,1.5286399477130987
Food#Portion,Ambience#Space,1787,774,214,0.11975377728035815,0.07834008097165993,1.5286399477130987
Ambience#Decoration,Ambience#Space,424,774,213,0.5023584905660378,0.07834008097165993,6.412534737457949
Ambience#Space,Ambience#Decoration,774,424,213,0.2751937984496124,0.04291497975708502,6.41253473745795
Ambience#Noise,Ambience#Sanitary,513,848,208,0.40545808966861596,0.08582995951417004,4.723969252271139
Ambience#Sanitary,Ambience#Noise,848,513,208,0.24528301886792453,0.051923076923076926,4.7239692522711385
Ambience#Space,Ambience#Sanitary,774,848,205,0.2648578811369509,0.08582995951417004,3.0858441811710793
Ambience#Sanitary,Ambience#Space,848,774,205,0.2417452830188679,0.07834008097165993,3.0858441811710784
Service#Queue,Service#Timely,683,907,204,0.2986822840409956,0.09180161943319838,3.2535622561466777
Service#Timely,Service#Queue,907,683,204,0.2249173098125689,0.06912955465587045,3.2535622561466773
Ambience#Noise,Ambience#Space,513,774,198,0.38596491228070173,0.07834008097165993,4.926787252368647
Ambience#Space,Ambience#Noise,774,513,198,0.2558139534883721,0.051923076923076926,4.926787252368648
Ambience#Decoration,Ambience#Noise,424,513,195,0.45990566037735847,0.051923076923076926,8.857442348008385
Ambience#Noise,Ambience#Decoration,513,424,195,0.38011695906432746,0.04291497975708502,8.857442348008385
Ambience#Space,Price#Level,774,1873,188,0.24289405684754523,0.1895748987854251,1.2812564237339812
Price#Level,Ambience#Space,1873,774,188,0.1003737319807795,0.07834008097165993,1.281256423733981
Food#Taste,Price#Level,503,1873,178,0.3538767395626243,0.1895748987854251,1.866685631008397
Price#Level,Food#Taste,1873,503,178,0.09503470368392952,0.05091093117408907,1.866685631008397
Food#Recommend,Food#Portion,438,1787,176,0.4018264840182648,0.18087044534412955,2.221626000056215
Food#Portion,Food#Recommend,1787,438,176,0.09848908785674315,0.04433198380566802,2.221626000056215
Service#Timely,Food#Appearance,907,922,175,0.19294377067254687,0.09331983805668016,2.0675536380095045
Food#Appearance,Service#Timely,922,907,175,0.1898047722342733,0.09180161943319838,2.067553638009504
Food#Recommend,Food#Appearance,438,922,171,0.3904109589041096,0.09331983805668016,4.1835794728553175
Food#Appearance,Food#Recommend,922,438,171,0.18546637744034708,0.04433198380566802,4.1835794728553175
