,Ambience#Decoration,Ambience#Noise,Ambience#Sanitary,Ambience#Space,Food#Appearance,Food#Portion,Food#Recommend,Food#Taste,Location#Downtown,Location#Easy_to_find,Location#Transportation,Price#Cost_effective,Price#Discount,Price#Level,Service#Hospitality,Service#Parking,Service#Queue,Service#Timely
Ambience#Decoration,424,195,248,213,105,136,46,65,4,49,16,75,11,107,154,6,37,59
Ambience#Noise,195,513,208,198,100,143,52,59,6,48,16,70,20,130,158,5,62,75
Ambience#Sanitary,248,208,848,205,343,294,122,217,11,61,23,162,25,225,350,12,81,143
Ambience#Space,213,198,205,774,106,214,60,68,8,85,26,91,27,188,166,19,89,97
Food#Appearance,105,100,343,106,922,429,171,294,15,52,31,225,47,299,368,12,83,175
Food#Portion,136,143,294,214,429,1787,176,246,22,129,53,351,76,675,472,34,169,302
Food#Recommend,46,52,122,60,171,176,438,117,6,29,14,122,17,158,142,10,45,74
Food#Taste,65,59,217,68,294,246,117,503,4,16,13,160,42,178,303,11,53,135
Location#Downtown,4,6,11,8,15,22,6,4,118,102,97,13,0,29,12,2,2,8
Location#Easy_to_find,49,48,61,85,52,129,29,16,102,629,146,52,6,153,66,23,31,49
Location#Transportation,16,16,23,26,31,53,14,13,97,146,253,24,4,58,31,17,13,22
Price#Cost_effective,75,70,162,91,225,351,122,160,13,52,24,637,62,447,258,16,69,114
Price#Discount,11,20,25,27,47,76,17,42,0,6,4,62,228,109,81,6,20,44
Price#Level,107,130,225,188,299,675,158,178,29,153,58,447,109,1873,413,47,160,232
Service#Hospitality,154,158,350,166,368,472,142,303,12,66,31,258,81,413,1284,16,156,401
Service#Parking,6,5,12,19,12,34,10,11,2,23,17,16,6,47,16,169,10,9
Service#Queue,37,62,81,89,83,169,45,53,2,31,13,69,20,160,156,10,683,204
Service#Timely,59,75,143,97,175,302,74,135,8,49,22,114,44,232,401,9,204,907
