,Ambience#Decoration,Ambience#Noise,Ambience#Sanitary,Ambience#Space,Food#Appearance,Food#Portion,Food#Recommend,Food#Taste,Location#Downtown,Location#Easy_to_find,Location#Transportation,Price#Cost_effective,Price#Discount,Price#Level,Service#Hospitality,Service#Parking,Service#Queue,Service#Timely
Ambience#Decoration,5138,3446,3424,3868,2432,3061,1325,5059,1547,1469,1360,1423,1971,3279,3881,453,903,999
Ambience#Noise,3446,3678,2930,3197,1734,2176,974,3616,1071,994,920,1022,1439,2349,2805,318,618,709
Ambience#Sanitary,3424,2930,4232,3193,2089,2566,1091,4166,1185,1082,1019,1233,1634,2710,3285,340,710,848
Ambience#Space,3868,3197,3193,4562,2108,2772,1137,4483,1378,1316,1224,1291,1784,3014,3429,392,840,931
Food#Appearance,2432,1734,2089,2108,4362,2855,1289,4352,1106,1055,1006,1254,1674,2819,3177,310,828,853
Food#Portion,3061,2176,2566,2772,2855,5806,1547,5772,1501,1423,1263,1935,2406,4170,4152,412,1249,1274
Food#Recommend,1325,974,1091,1137,1289,1547,2379,2376,571,596,512,760,871,1545,1656,168,478,424
Food#Taste,5059,3616,4166,4483,4352,5772,2376,9704,2526,2299,2206,2818,3900,6268,6778,660,2012,1946
Location#Downtown,1547,1071,1185,1378,1106,1501,571,2526,2579,1170,1093,715,1139,1654,1840,222,555,517
Location#Easy_to_find,1469,994,1082,1316,1055,1423,596,2299,1170,2331,1138,621,1050,1558,1740,247,402,476
Location#Transportation,1360,920,1019,1224,1006,1263,512,2206,1093,1138,2263,559,940,1425,1621,309,429,426
Price#Cost_effective,1423,1022,1233,1291,1254,1935,760,2818,715,621,559,2860,1494,2507,1946,197,603,595
Price#Discount,1971,1439,1634,1784,1674,2406,871,3900,1139,1050,940,1494,3973,2935,2938,282,788,862
Price#Level,3279,2349,2710,3014,2819,4170,1545,6268,1654,1558,1425,2507,2935,6356,4555,455,1325,1290
Service#Hospitality,3881,2805,3285,3429,3177,4152,1656,6778,1840,1740,1621,1946,2938,4555,6904,509,1416,1636
Service#Parking,453,318,340,392,310,412,168,660,222,247,309,197,282,455,509,679,108,126
Service#Queue,903,618,710,840,828,1249,478,2012,555,402,429,603,788,1325,1416,108,2035,651
Service#Timely,999,709,848,931,853,1274,424,1946,517,476,426,595,862,1290,1636,126,651,1990
