source,target,co_negative_count,negative_count_source,negative_count_target,jaccard,conditional_negative_mean,lift_mean
Food#Portion,Price#Level,675,1787,1873,0.22613065326633167,0.3690562229257935,1.9925002636649398
Food#Portion,Service#Hospitality,472,1787,1284,0.1816083108888034,0.31586553631541053,2.03240084584582
Price#Cost_effective,Price#Level,447,637,1873,0.2166747455162385,0.47019070472659064,3.7015810061344343
Food#Appearance,Food#Portion,429,922,1787,0.1881578947368421,0.35267999664970073,2.57252001985902
Price#Level,Service#Hospitality,413,1873,1284,0.15051020408163265,0.27107647950129155,1.6966966217755846
Service#Hospitality,Service#Timely,401,1284,907,0.2240223463687151,0.37721108237419587,3.401958460846239
Food#Appearance,Service#Hospitality,368,922,1284,0.20021762785636563,0.34286834120596565,3.071205087139565
Food#Portion,Price#Cost_effective,351,1787,637,0.16931982633863965,0.3737194933933282,3.0464922398730057
Ambience#Sanitary,Service#Hospitality,350,848,1284,0.19640852974186307,0.3426607594192676,3.1758802092517486
Ambience#Sanitary,Food#Appearance,343,848,922,0.24036440084092503,0.3882492428273237,4.334353128964924
Food#Taste,Service#Hospitality,303,503,1284,0.204177897574124,0.41918349714795344,4.635179576745137
Food#Portion,Service#Timely,302,1787,907,0.1262541806020067,0.25098207129896244,1.8409078429352257
Food#Appearance,Price#Level,299,922,1873,0.11979166666666667,0.2419659784609006,1.7106431965607856
Food#Appearance,Food#Taste,294,922,503,0.259946949602122,0.4516825295515411,6.263331076448036
Ambience#Sanitary,Food#Portion,294,848,1787,0.12558735583084152,0.2556098288477579,1.9168312022890688
Price#Cost_effective,Service#Hospitality,258,637,1284,0.15514131088394467,0.3029790636599715,3.1165363341598322
Ambience#Decoration,Ambience#Sanitary,248,424,848,0.2421875,0.4386792452830188,6.814702741189035
Food#Portion,Food#Taste,246,1787,503,0.12035225048923678,0.3133632452626157,2.703955339034623
Price#Level,Service#Timely,232,1873,907,0.09105180533751962,0.1898268848035479,1.3492731092511174
Food#Appearance,Price#Cost_effective,225,922,637,0.1686656671664168,0.29862645875970945,3.785028111027491
Ambience#Sanitary,Price#Level,225,848,1873,0.09014423076923077,0.19272916267918486,1.3996061207426287
Ambience#Sanitary,Food#Taste,217,848,503,0.19135802469135801,0.3436538786151019,5.026351326006227
Ambience#Space,Food#Portion,214,774,1787,0.09118023008095441,0.1981197826970266,1.5286399477130987
Ambience#Decoration,Ambience#Space,213,424,774,0.216243654822335,0.38877614450782505,6.41253473745795
Ambience#Noise,Ambience#Sanitary,208,513,848,0.18039895923677363,0.3253705542682702,4.723969252271139
Ambience#Sanitary,Ambience#Space,205,848,774,0.14467184191954835,0.2533015820779094,3.085844181171079
Service#Queue,Service#Timely,204,683,907,0.1471861471861472,0.26179979692678224,3.2535622561466777
Ambience#Noise,Ambience#Space,198,513,774,0.18181818181818182,0.3208894328845369,4.926787252368648
Ambience#Decoration,Ambience#Noise,195,424,513,0.2628032345013477,0.420011309720843,8.857442348008385
Ambience#Space,Price#Level,188,774,1873,0.07645384302562017,0.17163389441416235,1.2812564237339812
Food#Taste,Price#Level,178,503,1873,0.08098271155595996,0.2244557216232769,1.866685631008397
Food#Portion,Food#Recommend,176,1787,438,0.08589555880917521,0.250157785937504,2.221626000056215
Food#Appearance,Service#Timely,175,922,907,0.10580411124546554,0.19137427145341007,2.067553638009504
Food#Appearance,Food#Recommend,171,922,438,0.1438183347350715,0.28793866817222835,4.1835794728553175
Food#Portion,Service#Queue,169,1787,683,0.07344632768361582,0.17100484137511768,1.3680387310009414
Ambience#Space,Service#Hospitality,166,774,1284,0.08773784355179703,0.17187688666714965,1.6502853646952755
Ambience#Sanitary,Price#Cost_effective,162,848,637,0.12244897959183673,0.2226774236545126,2.9630342703118986
Food#Taste,Price#Cost_effective,160,503,637,0.16326530612244897,0.2846344226633917,4.933663326165456
Price#Level,Service#Queue,160,1873,683,0.0667779632721202,0.1598425338418569,1.2357153633470626
Food#Recommend,Price#Level,158,438,1873,0.07338597306084534,0.22254362034876773,1.9028394366471877
Ambience#Noise,Service#Hospitality,158,513,1284,0.09640024405125076,0.21552258111530123,2.3699088496596286
Service#Hospitality,Service#Queue,156,1284,683,0.08614025400331309,0.17494971333178255,1.7575019498912168
Ambience#Decoration,Service#Hospitality,154,424,1284,0.0990990990990991,0.24157262093693058,2.794774584141539
Location#Easy_to_find,Price#Level,153,629,1873,0.06513409961685823,0.16246518809252392,1.2830983679889179
Location#Easy_to_find,Location#Transportation,146,629,253,0.1983695652173913,0.4045947831114072,9.06439105927597
Ambience#Noise,Food#Portion,143,513,1787,0.06629578117756142,0.17938741026538862,1.5411718377582955
Ambience#Sanitary,Service#Timely,143,848,907,0.08870967741935484,0.16314734975348963,1.836918308335587
Food#Recommend,Service#Hospitality,142,438,1284,0.08987341772151898,0.2173964067767678,2.4946300800864876
Ambience#Decoration,Food#Portion,136,424,1787,0.0655421686746988,0.19842996061703497,1.7733948538184583
Food#Taste,Service#Timely,135,503,907,0.10588235294117647,0.20861599970189887,2.923583088020937
Ambience#Noise,Price#Level,130,513,1873,0.057624113475177305,0.16140933695096732,1.3367344921002153
Food#Portion,Location#Easy_to_find,129,1787,629,0.05640577175338872,0.138637732501915,1.1338913883434767
Food#Recommend,Price#Cost_effective,122,438,637,0.12801678908709338,0.23503078786836124,4.32019383095704
Ambience#Sanitary,Food#Recommend,122,848,438,0.10481099656357389,0.211203368656845,3.2452399414146633
Food#Recommend,Food#Taste,117,438,503,0.14199029126213591,0.2498638307143441,5.246874914894196
Price#Cost_effective,Service#Timely,114,637,907,0.07972027972027972,0.15232648907243332,1.9494633575591207
Price#Discount,Price#Level,109,228,1873,0.05471887550200803,0.2681327919371306,2.5218010322121374
Ambience#Decoration,Price#Level,107,424,1873,0.04885844748858448,0.15474304667116623,1.3311809326174335
Ambience#Space,Food#Appearance,106,774,922,0.06666666666666667,0.1259591832159052,1.4675433138834237
Ambience#Decoration,Food#Appearance,105,424,922,0.08460918614020951,0.18076218638726313,2.6536855891621984
Location#Downtown,Location#Easy_to_find,102,118,629,0.15813953488372093,0.5132844709115896,13.577645442052223
Ambience#Noise,Food#Appearance,100,513,922,0.0749063670411985,0.15169582186364924,2.088856752631156
Location#Downtown,Location#Transportation,97,118,253,0.354014598540146,0.6027165538956254,32.10156092985864
Ambience#Space,Service#Timely,97,774,907,0.061237373737373736,0.11613448658011619,1.3651501813343816
Ambience#Space,Price#Cost_effective,91,774,637,0.06893939393939394,0.13021410114433368,1.823551125876707
Ambience#Space,Service#Queue,89,774,683,0.06505847953216375,0.1226472735802301,1.6633562978348295
Ambience#Space,Location#Easy_to_find,85,774,629,0.06449165402124431,0.12247712829108179,1.7249807947482365
Food#Appearance,Service#Queue,83,922,683,0.054533508541392904,0.10577219298552068,1.3022171547625474
Price#Discount,Service#Hospitality,81,228,1284,0.05660377358490566,0.20917363502213476,2.733644859813084
Ambience#Sanitary,Service#Queue,81,848,683,0.05586206896551724,0.10705665211746182,1.3817370645597946
Food#Portion,Price#Discount,76,1787,228,0.039195461578133056,0.18793135609028166,1.8429397500466331
Ambience#Decoration,Price#Cost_effective,75,424,637,0.07606490872210954,0.14731309795325967,2.7435502502887945
Ambience#Noise,Service#Timely,75,513,907,0.055762081784386616,0.11444450892022412,1.5925517579321327
Food#Recommend,Service#Timely,74,438,907,0.058221872541306056,0.12526871164408732,1.8403789903993797
Ambience#Noise,Price#Cost_effective,70,513,637,0.06481481481481481,0.12317117580275475,2.1164021164021163
Price#Cost_effective,Service#Queue,69,637,683,0.05515587529976019,0.1046725706838654,1.5669166641766514
Ambience#Space,Food#Taste,68,774,503,0.05624483043837883,0.11152208197841376,1.7256666718038023
Location#Easy_to_find,Service#Hospitality,66,629,1284,0.035733622089875475,0.07816516351425642,0.8073934297133858
Ambience#Decoration,Food#Taste,65,424,503,0.07540603248259861,0.14126326943996398,3.011178213736449
Price#Cost_effective,Price#Discount,62,637,228,0.07721046077210461,0.1846305323748933,4.217687074829931
Ambience#Noise,Service#Queue,62,513,683,0.054673721340388004,0.10581684404601874,1.7482782929342227
Ambience#Sanitary,Location#Easy_to_find,61,848,629,0.04307909604519774,0.08445664726880042,1.1299007109217984
Ambience#Space,Food#Recommend,60,774,438,0.052083333333333336,0.10725284060741212,1.7486106686488974
Ambience#Noise,Food#Taste,59,513,503,0.06165099268547544,0.11615298462635493,2.259038362418084
Ambience#Decoration,Service#Timely,59,424,907,0.046383647798742135,0.10210027875434254,1.5157787439412536
Location#Transportation,Price#Level,58,253,1873,0.02804642166344294,0.13010768798971867,1.2092793577971972
Food#Portion,Location#Transportation,53,1787,253,0.026673376950176145,0.11957240589147355,1.1582111472625085
Food#Taste,Service#Queue,53,503,683,0.04677846425419241,0.09148331096874099,1.524207609394875
Ambience#Noise,Food#Recommend,52,513,438,0.05784204671857619,0.1100429918021843,2.2864874006426517
Location#Easy_to_find,Price#Cost_effective,52,629,637,0.042833607907743,0.08215177963077122,1.2822426267804417
Food#Appearance,Location#Easy_to_find,52,922,629,0.03468979319546364,0.06953501926067959,0.8858878017995027
Ambience#Decoration,Location#Easy_to_find,49,424,629,0.04880478087649402,0.09673373428922818,1.8152503224645287
Location#Easy_to_find,Service#Timely,49,629,907,0.03295225285810356,0.06596284331546022,0.8485844947353476
Ambience#Noise,Location#Easy_to_find,48,513,629,0.043875685557586835,0.08493942859267936,1.4697049991167637
Price#Level,Service#Parking,47,1873,169,0.02355889724310777,0.15159997093546726,1.4670006981806232
Food#Appearance,Price#Discount,47,922,228,0.04261106074342702,0.1285582448529132,2.208966015907447
Ambience#Decoration,Food#Recommend,46,424,438,0.056372549019607844,0.10675669854398208,2.44723011975532
Food#Recommend,Service#Queue,45,438,683,0.041821561338289966,0.08431276198880844,1.4861910587857756
Price#Discount,Service#Timely,44,228,907,0.04032997250229148,0.1207470163832956,2.1021683204704154
Food#Taste,Price#Discount,42,503,228,0.06095791001451379,0.13385476614000208,3.6182902584493037
Ambience#Decoration,Service#Queue,37,424,683,0.03457943925233645,0.07071845907345506,1.2623276886101826
Food#Portion,Service#Parking,34,1787,169,0.01768990634755463,0.1101048665079486,1.1123068313890923
Food#Appearance,Location#Transportation,31,922,253,0.027097902097902096,0.07807610196085156,1.3130074678692993
Location#Transportation,Service#Hospitality,31,253,1284,0.020584329349269587,0.07333647322473003,0.9428293499809144
Location#Easy_to_find,Service#Queue,31,629,683,0.02419984387197502,0.04733628641991401,0.7129306552267537
Location#Downtown,Price#Level,29,118,1873,0.014780835881753314,0.13062294696263585,1.2963884640791985
Food#Recommend,Location#Easy_to_find,29,438,629,0.027938342967244702,0.056157487059985044,1.0399924501455524
Ambience#Space,Price#Discount,27,774,228,0.027692307692307693,0.07665238678090575,1.511627906976744
Ambience#Space,Location#Transportation,26,774,253,0.025974025974025976,0.06817926484256111,1.3118035767176313
Ambience#Sanitary,Price#Discount,25,848,228,0.023786869647954328,0.06956512744124461,1.2775157232704402
Location#Transportation,Price#Cost_effective,24,253,637,0.02771362586605081,0.06626913459211595,1.471323707348552
Location#Easy_to_find,Service#Parking,23,629,169,0.02967741935483871,0.08633032614933067,2.137703314173902
Ambience#Sanitary,Location#Transportation,23,848,253,0.021335807050092765,0.05901586620926244,1.0591766723842195
Food#Portion,Location#Downtown,22,1787,118,0.01168348380244291,0.09937590697409729,1.0307968093481168
Location#Transportation,Service#Timely,22,253,907,0.019332161687170474,0.0556061550261253,0.9472220890657207
Ambience#Noise,Price#Discount,20,513,228,0.027739251040221916,0.06335282651072124,1.6894087069525665
Price#Discount,Service#Queue,20,228,683,0.02244668911335578,0.05850093755618915,1.2689116642264517
Ambience#Space,Service#Parking,19,774,169,0.020562770562770564,0.06848691956026483,1.4351023653349235
Location#Transportation,Service#Parking,17,253,169,0.04197530864197531,0.08389269593282972,3.928245667376102
Food#Recommend,Price#Discount,17,438,228,0.026194144838212634,0.05668709444844989,1.6818873668188736
Price#Cost_effective,Service#Parking,16,637,169,0.020253164556962026,0.05989614780823572,1.4684216882019079
Service#Hospitality,Service#Parking,16,1284,169,0.011134307585247043,0.05356780770152445,0.7284926911095135
Ambience#Decoration,Location#Transportation,16,424,253,0.024205748865355523,0.050488477887985675,1.4736371094041316
Ambience#Noise,Location#Transportation,16,513,253,0.021333333333333333,0.047215095270015175,1.2179768701507832
Food#Taste,Location#Easy_to_find,16,503,629,0.014336917562724014,0.0286231735185074,0.4996412621251821
Food#Appearance,Location#Downtown,15,922,118,0.014634146341463415,0.07169381227251001,1.3621824331776904
Food#Recommend,Location#Transportation,14,438,253,0.0206794682422452,0.04364971934954067,1.2482177342213077
Location#Downtown,Price#Cost_effective,13,118,637,0.01752021563342318,0.06528882739536493,1.7087512971290209
Food#Taste,Location#Transportation,13,503,253,0.017496635262449527,0.0386141648134906,1.0092802866594897
Location#Transportation,Service#Queue,13,253,683,0.014084507042253521,0.03520853708644148,0.7432913384915422
Location#Downtown,Service#Hospitality,12,118,1284,0.008633093525179856,0.05552035482338033,0.7825122762553461
Ambience#Sanitary,Service#Parking,12,848,169,0.011940298507462687,0.042578430277994864,0.8272859216255444
Food#Appearance,Service#Parking,12,922,169,0.011121408711770158,0.04201055077077103,0.7608877023193725
Ambience#Sanitary,Location#Downtown,11,848,118,0.011518324607329843,0.0530960185481292,1.0861048928685642
Food#Taste,Service#Parking,11,503,169,0.01664145234493192,0.04347877233639583,1.2784829484630678
Ambience#Decoration,Price#Discount,11,424,228,0.0171606864274571,0.03709450513075141,1.1242138364779874
Food#Recommend,Service#Parking,10,438,169,0.01675041876046901,0.041001323930723296,1.3347383210396908
Service#Parking,Service#Queue,10,169,683,0.011876484560570071,0.036906443033259115,0.8559522468746479
