aspect_name,mentioned_review_count,negative_review_count,mentioned_review_ratio,negative_review_ratio,negative_rate_given_mentioned
Price#Level,6356,1873,0.6433198380566801,0.1895748987854251,0.29468219005663937
Food#Portion,5806,1787,0.5876518218623482,0.18087044534412955,0.30778504994832934
Service#Hospitality,6904,1284,0.6987854251012146,0.12995951417004048,0.18597914252607184
Food#Appearance,4362,922,0.441497975708502,0.09331983805668016,0.21137093076570382
Service#Timely,1990,907,0.201417004048583,0.09180161943319838,0.4557788944723618
Ambience#Sanitary,4232,848,0.42834008097165993,0.08582995951417004,0.2003780718336484
Ambience#Space,4562,774,0.46174089068825913,0.07834008097165993,0.1696624287593161
Service#Queue,2035,683,0.20597165991902833,0.06912955465587045,0.3356265356265356
Price#Cost_effective,2860,637,0.2894736842105263,0.06447368421052632,0.22272727272727272
Location#Easy_to_find,2331,629,0.23593117408906883,0.06366396761133604,0.2698412698412698
Ambience#Noise,3678,513,0.3722672064777328,0.051923076923076926,0.13947797716150082
Food#Taste,9704,503,0.9821862348178138,0.05091093117408907,0.05183429513602638
Food#Recommend,2379,438,0.24078947368421053,0.04433198380566802,0.1841109709962169
Ambience#Decoration,5138,424,0.5200404858299595,0.04291497975708502,0.08252238224990269
Location#Transportation,2263,253,0.2290485829959514,0.025607287449392713,0.11179849756959788
Price#Discount,3973,228,0.4021255060728745,0.023076923076923078,0.05738736471180468
Service#Parking,679,169,0.0687246963562753,0.017105263157894738,0.24889543446244478
Location#Downtown,2579,118,0.2610323886639676,0.01194331983805668,0.045754168282279954
